system_time_ns,unity_realtime_s,pos_mm_x,pos_mm_y,pos_mm_z,rot_q_x,rot_q_y,rot_q_z,rot_q_w,joint_rad_0,joint_rad_1,joint_rad_2,gimbal_rad_0,gimbal_rad_1,gimbal_rad_2,force_N_x,force_N_y,force_N_z,is_holding,held_ring_id,event_code,fps,dt_frame_s
34333800,34.48139380000066,0,0,0,0,0,0,1,0,0.268889546,-0.370812863,0.000110408779,0.792162657,-0.0906538144,0,0,0,0,-1,0,0,0
71353700,34.518413600046188,0,-65.51071,-88.1142,-0.208903074,-0.009521599,-0.04433984,0.9768843,0,0.268889546,-0.370812863,0.000110408779,0.792162657,-0.0906538144,0,0,0,0,-1,0,27.0124989,0.0370199
72154800,34.5192151000374,0,-65.51071,-88.1142,-0.208903074,-0.009521599,-0.04433984,0.9768843,0,0.268889546,-0.370812863,0.000110408779,0.792162657,-0.0906538144,0,0,0,0,-1,0,88.07605,0.0008011
87380400,34.534440500021446,0,-65.51071,-88.1142,-0.208903074,-0.009521599,-0.04433984,0.9768843,0,0.268889546,-0.370812863,0.000110408779,0.792162657,-0.0906538144,0,0,0,0,-1,0,86.95619,0.0152256
88085800,34.535145900037605,0,-65.51071,-88.1142,-0.208903074,-0.009521599,-0.04433984,0.9768843,0,0.268889546,-0.370812863,0.000110408779,0.792162657,-0.0906538144,0,0,0,0,-1,0,153.490158,0.0007054
114486100,34.561545800010208,0,-65.51071,-88.1142,-0.208903074,-0.009521599,-0.04433984,0.9768843,0,0.268889546,-0.370812863,0.000110408779,0.792162657,-0.0906538144,0,0,0,0,-1,0,147.709564,0.0264003
139960500,34.58702010003617,0,-65.51071,-88.1142,-0.208903074,-0.009521599,-0.04433984,0.9768843,0,0.268889546,-0.370812863,0.000110408779,0.792162657,-0.0906538144,0,0,0,0,-1,0,142.286835,0.0254744
140948400,34.5880085999961,0,-65.51071,-88.1142,-0.208903074,-0.009521599,-0.04433984,0.9768843,0,0.268889546,-0.370812863,0.000110408779,0.792162657,-0.0906538144,0,0,0,0,-1,0,185.784912,0.0009879
168833600,34.615893600042909,0,-65.51071,-88.1142,-0.208903074,-0.009521599,-0.04433984,0.9768843,0,0.268889546,-0.370812863,0.000110408779,0.792162657,-0.0906538144,0,0,0,0,-1,0,178.288727,0.027885200000000002
169640700,34.6167011000216,0,-65.51071,-88.1142,-0.208903074,-0.009521599,-0.04433984,0.9768843,0,0.268889546,-0.370812863,0.000110408779,0.792162657,-0.0906538144,0,0,0,0,-1,0,231.324478,0.0008071
193884100,34.640944000042509,0,-65.51071,-88.1142,-0.208903074,-0.009521599,-0.04433984,0.9768843,0,0.268889546,-0.370812863,0.000110408779,0.792162657,-0.0906538144,0,0,0,0,-1,0,221.820679,0.024243400000000002
222565700,34.669625300040934,0,-65.51071,-88.1142,-0.208903074,-0.009521599,-0.04433984,0.9768843,0,0.268889546,-0.370812863,0.000110408779,0.792162657,-0.0906538144,0,0,0,0,-1,0,212.472916,0.0286816
223357900,34.670418400026392,0,-65.51071,-88.1142,-0.208903074,-0.009521599,-0.04433984,0.9768843,0,0.268889546,-0.370812863,0.000110408779,0.792162657,-0.0906538144,0,0,0,0,-1,0,264.964661,0.00079220000000000007
251889100,34.698949000041466,0,-65.51071,-88.1142,-0.208903074,-0.009521599,-0.04433984,0.9768843,0,0.268889546,-0.370812863,0.000110408779,0.792162657,-0.0906538144,0,0,0,0,-1,0,253.4689,0.028531200000000003
252832500,34.699892700009514,0,-65.51071,-88.1142,-0.208903074,-0.009521599,-0.04433984,0.9768843,0,0.268889546,-0.370812863,0.000110408779,0.792162657,-0.0906538144,0,0,0,0,-1,0,293.795258,0.00094340000000000005
